id,period,sheet_name,source_row,date_display,start_date,end_date,year,title,category,item_kind,count,verification_status,public_note
TV00001,1. Dönem (1991–1995),1. DÖNEM,2,Aralık 1990,,,1990,Tarih Vakfı Girişim Kurulu’nun Oluşmaya Başlaması,,organizational,,uncertain_category,
TV00002,1. Dönem (1991–1995),1. DÖNEM,3,Şubat- Mart 1991,,,1991,Girişim Kurulu Tarafından Kurucular Grubu’nun Oluşturulması İçin İlk Toplantılar ve İlişkiler,,organizational,,uncertain_category,
TV00003,1. Dönem (1991–1995),1. DÖNEM,4,Şubat- Mart 1991,,,1991,Vakıfla İlgili Yazışmalar İçin Beyoğlu Postanesi’nde bir posta kutusunun kiralanması,,organizational,,uncertain_category,
TV00004,1. Dönem (1991–1995),1. DÖNEM,5,Nisan 1991,,,1991,Gümüşsuyu Bağ Odaları (şimdiki Tarık Zafer Tunaya) Sokak’ta Küçük Bir İrtibat Bürosunun Kiralanması,,organizational,,uncertain_category,
TV00005,1. Dönem (1991–1995),1. DÖNEM,6,Nisan 1991,,,1991,[Gizli bilgi içeriyor],,organizational,,uncertain_category,
TV00006,1. Dönem (1991–1995),1. DÖNEM,7,Nisan 1991,,,1991,Fon Geliştirme Grubu’nun İlk Toplantısı,,organizational,,uncertain_category,
TV00007,1. Dönem (1991–1995),1. DÖNEM,8,Mayıs 1991,,,1991,Tarih Vakfı’ndan Haberler Bülteninin  Başlaması,Bülten,publication,1,needs_review,
TV00008,1. Dönem (1991–1995),1. DÖNEM,9,6 Mayıs,1991-05-06,,1991,Divan Otelinde Kurucular Tanışma Kokteyli,,organizational,,uncertain_category,
TV00009,1. Dönem (1991–1995),1. DÖNEM,10,18 Mayıs,1991-05-18,,1991,"“Osmanlı’dan Günümüze Türkiye’nin Ekonomik ve Toplumsal Mirası Sempozyumu” - AKM-Sinema Salonu, Açış Konuşması: İlhan Tekeli. Türkiye’nin EkonomikToplumsal Yapılanması ve Bölüşüm Sorunu. Oturum Başkanı Burhan Oğuz. Konuşmacılar: Korkut Boratav, Çağlar Keyder, Şevket Pamuk. Türkiye’de Çoğulculuk ve Parlamenter Boyutları, Oturum Başkanı Mehmet Ali Aybar. Konuşmacılar: Rasih Nuri İleri, Zafer Toprak, Mete Tunçay. Sempozyumu takip ederek 18:30-20:30 arasında Vakıf Tanışma Kokteyli. TVH, bir fotoğraf var, c. 1, s.2.",Sempozyum,event,1,verified,
TV00010,1. Dönem (1991–1995),1. DÖNEM,11,Haziran 1991,,,1991,Vakfın İlk Tanıtma Broşürünün,Broşür,publication,1,needs_review,
TV00011,1. Dönem (1991–1995),1. DÖNEM,12,19-21 Haziran,1991-06-19,1991-06-21,1991,"Ankara ve İstanbul’da Kurucuların Vakıf Senedini İmzalamaları (Senet imzalanırken iki albüm fotoğraf var, TVA.)",,organizational,,uncertain_category,
TV00012,1. Dönem (1991–1995),1. DÖNEM,13,Temmuz 1991,,,1991,İstanbul Büyükşehir Belediyesi’nden Değirmen Han’da Yer Vaadinin Alınması,,organizational,,uncertain_category,
TV00013,1. Dönem (1991–1995),1. DÖNEM,14,18 Temmuz,1991-07-18,,1991,Vakfın Kuruluşunun Mahkeme Kararı İle Tescili,,organizational,,uncertain_category,
TV00014,1. Dönem (1991–1995),1. DÖNEM,15,23 Temmuz 1991,1991-07-23,,1991,"Vakfın 1. Başkanı: İlhan Tekeli - Başkanlık süresi: 1991-2002, Genel Sekreter: Orhan Silier.",,organizational,,uncertain_category,
TV00015,1. Dönem (1991–1995),1. DÖNEM,16,Ağustos 1991,,,1991,Sözlü Tarih Projesinin Hazırlanması,Proje,project,1,needs_review,
TV00016,1. Dönem (1991–1995),1. DÖNEM,17,Ağustos 1991,,,1991,Tarih Vakfı Döner Sermaye İşletmesi’nin Kurulması,,organizational,,uncertain_category,
TV00017,1. Dönem (1991–1995),1. DÖNEM,19,14 Eylül,1991-09-14,,1991,Vakıf Senedinin Resmi Gazete’de,,organizational,,uncertain_category,
TV00018,1. Dönem (1991–1995),1. DÖNEM,20,14 Eylül,1991-09-14,,1991,Bilgi-Belge Merkezi Hazırlık Grubu’nun Kurulması.,,organizational,,uncertain_category,
TV00019,1. Dönem (1991–1995),1. DÖNEM,22,1-11 Ekim,1991-10-01,1991-10-11,1991,İstanbul’da Seçim Afişleri Sergisi (Reklamcılar Derneği ile) Beyoğlu Belediyesi Sanat Galerisi,Sergi,event,1,verified,
TV00020,1. Dönem (1991–1995),1. DÖNEM,23,14-21 Ekim,1991-10-14,1991-10-21,1991,"Ankara’da Seçim Afişleri Sergisi, ABB Belpa Galerisi.",Sergi,event,1,verified,
TV00021,1. Dönem (1991–1995),1. DÖNEM,24,16 Ekim,1991-10-16,,1991,"“Türkiye’de Seçim Afişleri” - Hıfzı Topuz Konferansı - Nermin Abadan, İplikçi Han Marmara Belediyeler Birliği (MBB)",Konferans/Söyleşi,event,2,verified,
TV00022,1. Dönem (1991–1995),1. DÖNEM,25,Kasım 1991,,,1991,İstanbul Dergisi’nin  İçin Büyükşehir Belediyesi’ne Bağlı Kültür A.Ş. ile İlke Anlaşmasına Varılması,Diğer Etkinlik,event,1,needs_review,
TV00023,1. Dönem (1991–1995),1. DÖNEM,26,Kasım 1991,,,1991,"İngilizce, Fransızca, Almanca Vakıf Tanıtma Broşürlerinin TV yayımlanması, TVH, Kasım 1991.",Broşür,publication,3,needs_review,
TV00024,1. Dönem (1991–1995),1. DÖNEM,28,7 Aralık,1991-12-07,,1991,"Tarihçinin Mutfağı Konferans Dizisi’nin İlk Toplantısı - İlhan Tekeli, Zindankapı, MBB.",Konferans/Söyleşi,event,1,verified,
TV00025,1. Dönem (1991–1995),1. DÖNEM,29,7 Aralık,1991-12-07,,1991,[Gizli bilgi içeriyor],,organizational,,uncertain_category,
TV00026,1. Dönem (1991–1995),1. DÖNEM,31,4 Ocak,1992-01-04,,1992,"Tarihçinin Mutfağı Konferans Dizisi - Kemal Beydilli, Zindankapı MBB.",Konferans/Söyleşi,event,1,verified,
TV00027,1. Dönem (1991–1995),1. DÖNEM,32,4 Ocak,1992-01-04,,1992,İstanbul Dergisi Yazı Kurulunun Oluşması,,organizational,,uncertain_category,
TV00028,1. Dönem (1991–1995),1. DÖNEM,34,1 Şubat,1992-02-01,,1992,"Tarihçinin Mutfağı Konferans Dizisi - Sina Akşin, Zindankapı, MBB.",Konferans/Söyleşi,event,1,verified,
TV00029,1. Dönem (1991–1995),1. DÖNEM,35,22 Şubat,1992-02-22,,1992,Kuşaklar Buluşması Konferans Dizisi - Cahit Arf,Konferans/Söyleşi,event,1,verified,
TV00030,1. Dönem (1991–1995),1. DÖNEM,36,22 Şubat,1992-02-22,,1992,[Gizli bilgi içeriyor],,organizational,,uncertain_category,
TV00031,1. Dönem (1991–1995),1. DÖNEM,38,7 Mart,1992-03-07,,1992,"Tarihçinin Mutfağı Konferans Dizisi - Semavi Eyice, Zindankapı, MBB.",Konferans/Söyleşi,event,1,verified,
TV00032,1. Dönem (1991–1995),1. DÖNEM,39,21 Mart,1992-03-21,,1992,"Kuşaklar Buluşması Konferans Dizisi - Şaban Yıldız, Zindanpı, MBB.",Konferans/Söyleşi,event,1,verified,
TV00033,1. Dönem (1991–1995),1. DÖNEM,41,1 Nisan,1992-04-01,,1992,İstanbul Dergisi’ 1. Sayı - “Dosya: İstanbullu Kim?”,D_İstanbul Dergisi,publication,1,verified,
