count,item_kind,period,verification_status
13,event,1. DÖNEM,uncertain_date
132,event,1. DÖNEM,verified
1,organizational,1. DÖNEM,needs_review
4,organizational,1. DÖNEM,uncertain_category
13,organizational,1. DÖNEM,uncertain_date
17,organizational,1. DÖNEM,verified
5,publication,1. DÖNEM,needs_review
14,publication,1. DÖNEM,uncertain_date
53,publication,1. DÖNEM,verified
1,event,2. DÖNEM,needs_review
3,event,2. DÖNEM,uncertain_category
10,event,2. DÖNEM,uncertain_date
261,event,2. DÖNEM,verified
3,organizational,2. DÖNEM,uncertain_category
3,organizational,2. DÖNEM,uncertain_date
11,organizational,2. DÖNEM,verified
8,publication,2. DÖNEM,needs_review
21,publication,2. DÖNEM,uncertain_date
175,publication,2. DÖNEM,verified
3,event,3. DÖNEM,needs_review
17,event,3. DÖNEM,uncertain_category
14,event,3. DÖNEM,uncertain_date
167,event,3. DÖNEM,verified
7,organizational,3. DÖNEM,uncertain_category
2,organizational,3. DÖNEM,verified
7,publication,3. DÖNEM,needs_review
9,publication,3. DÖNEM,uncertain_category
2,publication,3. DÖNEM,uncertain_date
120,publication,3. DÖNEM,verified
8,event,4. DÖNEM,needs_review
9,event,4. DÖNEM,uncertain_category
9,event,4. DÖNEM,uncertain_date
64,event,4. DÖNEM,verified
1,organizational,4. DÖNEM,needs_review
3,organizational,4. DÖNEM,uncertain_category
4,organizational,4. DÖNEM,verified
10,publication,4. DÖNEM,needs_review
4,publication,4. DÖNEM,uncertain_category
14,publication,4. DÖNEM,uncertain_date
55,publication,4. DÖNEM,verified
1,event,5. DÖNEM,uncertain_category
5,event,5. DÖNEM,uncertain_date
49,event,5. DÖNEM,verified
3,organizational,5. DÖNEM,uncertain_category
2,organizational,5. DÖNEM,verified
1,publication,5. DÖNEM,uncertain_category
6,publication,5. DÖNEM,uncertain_date
42,publication,5. DÖNEM,verified
1,event,6. DÖNEM,needs_review
4,event,6. DÖNEM,uncertain_category
12,event,6. DÖNEM,uncertain_date
128,event,6. DÖNEM,verified
2,organizational,6. DÖNEM,uncertain_category
1,organizational,6. DÖNEM,verified
1,publication,6. DÖNEM,needs_review
46,publication,6. DÖNEM,uncertain_date
43,publication,6. DÖNEM,verified
1,event,7. DÖNEM,needs_review
1,event,7. DÖNEM,uncertain_category
2,event,7. DÖNEM,uncertain_date
275,event,7. DÖNEM,verified
3,organizational,7. DÖNEM,uncertain_category
7,organizational,7. DÖNEM,verified
12,publication,7. DÖNEM,uncertain_category
45,publication,7. DÖNEM,uncertain_date
50,publication,7. DÖNEM,verified
