year,total,event,publication,organizational,project
1990,1,0,0,1,0
1991,24,6,3,14,1
1992,35,18,4,11,2
1993,69,38,16,6,9
1994,62,31,25,1,5
1995,61,24,27,6,4
1996,64,18,34,6,5
1997,86,37,33,7,9
1998,96,36,44,4,12
1999,106,46,41,6,13
2000,144,67,59,7,8
2001,121,53,55,7,5
2002,89,41,38,5,4
2003,83,35,40,4,4
2004,20,9,1,0,0
2005,35,18,4,8,0
2006,49,25,10,9,1
2007,42,18,17,2,2
2008,16,7,7,1,0
2009,34,5,27,0,2
2010,24,6,14,1,1
2011,29,8,20,1,0
2012,21,7,12,2,0
2013,11,4,5,1,0
2014,23,14,9,0,0
2015,26,20,5,1,0
2016,15,5,9,0,1
2017,36,15,17,1,1
2018,13,2,9,0,2
2019,93,46,43,1,1
2020,80,65,12,1,0
2021,84,43,37,2,1
2022,60,48,10,2,0
2023,79,67,10,2,0
2024,23,1,21,1,0
2025,13,0,10,3,0
2026,151,124,27,0,0
